# initial_x = 0.1
x,y
1.51417,0.082596
1.49503,-0.353063
1.30726,-0.0769934
1.54676,0.910048
1.43,-2.0132


# initial_x = 0.2
x,y
0.200388,0.0775898
1.61595,-2.36046
1.14359,1.09838
1.27151,-2.56082
1.17725,1.8216
1.07751,-1.96697
1.40974,2.33932
1.3923,-1.34363
1.3921,0.577061
1.53126,-0.00733957
1.54507,0.0590443
1.58728,0.793587
1.48422,-1.76308
1.26931,0.145055
1.53322,1.75781
1.51567,-1.12423
1.27928,-0.0325251
1.52867,1.70032
1.52307,-1.14742
1.27763,0.00380485
1.53165,1.68989
1.52339,-1.14024
1.27654,-0.0283959
1.53067,1.72581
1.52182,-1.10743
1.27927,-0.00614832
1.53547,1.63723
1.51949,-1.20583
1.27678,-0.00565342
1.51833,1.78958
1.52072,-1.14839
1.27693,-0.0411528
1.51786,1.80132
1.51888,-1.14584
1.27874,-0.0197389
1.5225,1.73462
1.51703,-1.21754
1.27659,-0.0269254
1.52221,1.77145
1.51739,-1.1687
1.27788,-0.00466063
1.5238,1.74795
1.51581,-1.19937
1.27749,-0.00301299
1.52543,1.74118
1.51498,-1.20299
1.2775,-0.00959929
1.52676,1.73383
1.51386,-1.21067
1.27766,-0.0107418
1.52855,1.7183
1.52443,-1.11593
1.2774,-0.0153697
1.52982,1.71432
1.52347,-1.11887
1.27765,-0.0177387
1.53156,1.69796
1.52242,-1.13592
1.27738,-0.0216795
1.53287,1.69342
1.52147,-1.13909
1.27759,-0.024518
1.51718,1.79132
1.52039,-1.15492
1.27736,-0.0281665
1.51859,1.78592
1.51943,-1.15946
1.27751,-0.0311953
1.52032,1.77229
1.51833,-1.17377
1.27733,-0.0347028
1.52176,1.76564
1.51734,-1.17962
1.27743,-0.0378225
1.52343,1.75293
1.51624,-1.19265
1.27751,-0.00425391
1.5249,1.74528
1.51522,-1.19951
1.2776,-0.0074074


# initial_x = 0.25
x,y
0.250384,0.0767083
1.26879,-3.27588
1.13241,1.46636
1.02268,-2.19157
1.47215,1.44179
1.31963,-2.13334
1.30206,1.50984
1.20182,-2.38593
1.32393,1.59341
1.16895,-2.31805
1.37964,1.3244
1.38483,-2.29514
1.25946,1.21121
1.474,-2.14694
1.23903,-0.218386
1.57203,1.94373
1.21644,-1.18558
1.5004,2.42169
1.08812,-0.54093
1.40897,-2.62469
1.23464,0.100028
1.56731,1.91436
1.30844,-1.28778
1.50035,0.434744
1.59969,1.17087
1.5595,-1.02916
1.41106,-0.802198
1.38321,0.139689
1.4018,-0.46864
1.38815,-0.116288
1.39776,-0.329219
1.38907,-0.246579
1.39795,-0.270726
1.38894,-0.248792
1.39786,-0.31335
1.38654,-0.228597
1.40366,-0.297627
1.3787,-0.25754
1.41469,-0.283664
1.36862,-0.193761
1.43605,-0.246982
1.35046,-0.0988083
1.47619,-0.17355
1.31343,-0.247981
1.53932,0.95038
1.41522,-2.08113
1.27155,1.0713
1.66337,-0.768889
1.60113,-0.0326092
1.62988,-0.799107
1.63522,0.229111
1.59299,-0.990139
1.59223,0.518471
1.52063,-1.67415
1.27062,-0.648689
1.48279,2.24227
1.31466,-1.35964
1.47256,0.323041
1.44164,-0.58777
1.35816,0.132644
1.45881,-0.30358
1.33433,-0.02667
1.51159,0.152605
1.47534,-0.479473
1.32885,0.124293
1.52268,0.217568
1.57557,0.562671
1.51472,-1.75087
1.26617,-0.638481
1.48879,2.25884
1.26464,-1.33412
1.50317,1.43964
1.38474,-1.98983
1.28166,1.40801
1.24853,-2.45663
1.22524,1.83508
1.11528,-2.04119
1.47744,1.4959
1.33647,-2.09369
1.28429,1.51596


# initial_x = 0.3
x,y
0.300378,0.0756391
0.930756,-3.09356
0.826667,2.05616
0.953603,-0.619891
0.895747,-2.50741
1.32402,1.88404
1.21416,-2.08606
1.42991,0.882866
1.65957,0.676909
1.5776,-0.541922
1.59327,0.802149
1.50803,-1.62918
1.25622,-0.192974
1.51638,2.11428
1.34271,-1.31948
1.44244,0.182824
1.35532,-0.573706
1.47613,-0.0146856
1.31893,-0.454231
1.53396,0.946771
1.42074,-2.08434
1.27319,0.988586
1.68514,0.128063
1.56807,-0.448597
1.58172,0.591881
1.51354,-1.72551
1.25131,-0.529
1.51244,2.24145
1.19492,-1.18195
1.55808,2.23702
1.088,-0.334269
1.39797,-2.62207
1.23851,0.167169
1.56361,1.89163
1.34436,-1.30502
1.43732,0.232906
1.35178,-0.568426
1.48114,-0.0174507
1.32204,-0.536946
1.53392,0.792609
1.49618,-1.86799
1.2504,-0.140149
1.53978,2.0349
1.30786,-1.294
1.50265,0.543665
1.64748,0.755398
1.5846,-0.566058
1.5982,0.725696
1.50404,-1.65984
1.25579,-0.237688
1.52629,2.09694
1.30655,-1.29616
1.50434,0.595524
1.66507,0.359892
1.59927,-0.378848
1.64464,0.488428
1.59178,-0.833216
1.61028,0.769699
1.5434,-1.36499
1.30966,-0.824891
1.52516,1.03722
1.40181,-2.1152
1.25797,1.26279
1.45545,-2.20281
1.24936,0.0278992
1.53195,2.03123
1.37389,-1.27952
1.41221,0.308661
1.40059,-0.555536
1.39539,-0.101613
1.38207,-0.378605
1.41198,-0.23059
